params,r2,f1,score
"{'gamma': 1.0, 'lambda1': 0.5, 'memory_size': 20, 'window_size': 6, 'learning_rate': 0.001}",0.492021381855011,0.4357142857142857,0.4582371241705758
"{'gamma': 0.8, 'lambda1': 5.0, 'memory_size': 10, 'window_size': 6, 'learning_rate': 0.0001}",0.5291957855224609,0.38461538461538464,0.44244754497821515
"{'gamma': 1.0, 'lambda1': 3.0, 'memory_size': 10, 'window_size': 6, 'learning_rate': 0.001}",0.4671570658683777,0.4228855721393035,0.4405941696309332
"{'gamma': 1.2, 'lambda1': 3.0, 'memory_size': 30, 'window_size': 6, 'learning_rate': 0.0005}",0.48669224977493286,0.3969849246231156,0.4328678546838425
"{'gamma': 0.8, 'lambda1': 3.0, 'memory_size': 20, 'window_size': 12, 'learning_rate': 0.0005}",0.5001952648162842,0.38461538461538464,0.4308473366957445
"{'gamma': 1.0, 'lambda1': 1.0, 'memory_size': 30, 'window_size': 12, 'learning_rate': 0.0005}",0.47846728563308716,0.3761194029850746,0.41705855604427966
"{'gamma': 1.2, 'lambda1': 0.5, 'memory_size': 30, 'window_size': 12, 'learning_rate': 0.001}",0.4597529172897339,0.3836317135549872,0.4140801950488859
"{'gamma': 2.0, 'lambda1': 2.0, 'memory_size': 50, 'window_size': 12, 'learning_rate': 0.0005}",0.461727499961853,0.3776223776223776,0.41126442655816775
"{'gamma': 1.5, 'lambda1': 1.0, 'memory_size': 10, 'window_size': 6, 'learning_rate': 0.0001}",0.5085216760635376,0.33217993079584773,0.4027166289029237
"{'gamma': 0.8, 'lambda1': 5.0, 'memory_size': 20, 'window_size': 12, 'learning_rate': 0.0005}",0.4327656626701355,0.37659033078880405,0.3990604635413366
"{'gamma': 2.0, 'lambda1': 5.0, 'memory_size': 50, 'window_size': 18, 'learning_rate': 0.001}",0.5233280658721924,0.20553359683794467,0.3326513844516438
"{'gamma': 2.0, 'lambda1': 1.0, 'memory_size': 30, 'window_size': 18, 'learning_rate': 0.0001}",0.5541664361953735,0.17228464419475656,0.32503736099500335
"{'gamma': 1.5, 'lambda1': 1.0, 'memory_size': 10, 'window_size': 18, 'learning_rate': 0.0001}",0.5162316560745239,0.18947368421052632,0.32017687295612535
"{'gamma': 1.2, 'lambda1': 0.5, 'memory_size': 10, 'window_size': 18, 'learning_rate': 0.0001}",0.505647599697113,0.18439716312056736,0.31289733775118567
"{'gamma': 0.8, 'lambda1': 0.5, 'memory_size': 30, 'window_size': 18, 'learning_rate': 0.0001}",0.5681808590888977,0.13793103448275862,0.31003096432521426
"{'gamma': 0.8, 'lambda1': 3.0, 'memory_size': 20, 'window_size': 18, 'learning_rate': 0.001}",0.5195168256759644,0.16342412451361868,0.30586120497855696
"{'gamma': 0.8, 'lambda1': 3.0, 'memory_size': 10, 'window_size': 18, 'learning_rate': 0.0005}",0.4918357729911804,0.17993079584775087,0.3046927867051227
"{'gamma': 1.0, 'lambda1': 3.0, 'memory_size': 20, 'window_size': 18, 'learning_rate': 0.0005}",0.43662744760513306,0.20224719101123595,0.2959992936487948
"{'gamma': 0.8, 'lambda1': 0.5, 'memory_size': 10, 'window_size': 18, 'learning_rate': 0.0005}",0.4515492916107178,0.19117647058823528,0.29532559899722827
"{'gamma': 1.2, 'lambda1': 1.0, 'memory_size': 10, 'window_size': 18, 'learning_rate': 0.0005}",0.477120041847229,0.16793893129770993,0.2916113755175176
"{'gamma': 0.8, 'lambda1': 2.0, 'memory_size': 20, 'window_size': 18, 'learning_rate': 0.001}",0.46474605798721313,0.1684981684981685,0.2869973242937863
"{'gamma': 2.0, 'lambda1': 5.0, 'memory_size': 10, 'window_size': 18, 'learning_rate': 0.0005}",0.46350133419036865,0.1684981684981685,0.2864994347750486
"{'gamma': 1.0, 'lambda1': 2.0, 'memory_size': 10, 'window_size': 18, 'learning_rate': 0.0005}",0.4406288266181946,0.18326693227091634,0.2862116900098276
"{'gamma': 1.2, 'lambda1': 2.0, 'memory_size': 10, 'window_size': 24, 'learning_rate': 0.0001}",0.5179260969161987,0.02830188679245283,0.2241515708419512
"{'gamma': 1.2, 'lambda1': 3.0, 'memory_size': 50, 'window_size': 24, 'learning_rate': 0.0005}",0.503543496131897,0.023391812865497075,0.21545248617205703
"{'gamma': 2.0, 'lambda1': 5.0, 'memory_size': 20, 'window_size': 24, 'learning_rate': 0.0001}",0.4861294627189636,0.022099447513812154,0.20771145359587276
"{'gamma': 1.5, 'lambda1': 3.0, 'memory_size': 10, 'window_size': 24, 'learning_rate': 0.0005}",0.4622853994369507,0.020942408376963352,0.1974796048009583
"{'gamma': 1.0, 'lambda1': 0.5, 'memory_size': 30, 'window_size': 24, 'learning_rate': 0.001}",0.4224310517311096,0.03468208092485549,0.18978166924735715
"{'gamma': 1.2, 'lambda1': 0.5, 'memory_size': 20, 'window_size': 24, 'learning_rate': 0.0001}",0.43605363368988037,0.024844720496894408,0.1893282857740888
"{'gamma': 1.0, 'lambda1': 0.5, 'memory_size': 30, 'window_size': 24, 'learning_rate': 0.0005}",0.4210684299468994,0.0223463687150838,0.18183519320781005
