,caudal_minimo,fecha,humedad_lag_1,temp_lag_1,temp_max_lag_1,temp_min_lag_1,prep_lag_1,soil_perfil_lag_1,soil_superf_lag_1,dir_viento_lag_1,vel_viento_lag_1,nino_lag_1,caudal_minimo_lag_1,humedad_lag_2,temp_lag_2,temp_max_lag_2,temp_min_lag_2,prep_lag_2,soil_perfil_lag_2,soil_superf_lag_2,dir_viento_lag_2,vel_viento_lag_2,nino_lag_2,caudal_minimo_lag_2,humedad_lag_3,temp_lag_3,temp_max_lag_3,temp_min_lag_3,prep_lag_3,soil_perfil_lag_3,soil_superf_lag_3,dir_viento_lag_3,vel_viento_lag_3,nino_lag_3,caudal_minimo_lag_3,humedad_lag_4,temp_lag_4,temp_max_lag_4,temp_min_lag_4,prep_lag_4,soil_perfil_lag_4,soil_superf_lag_4,dir_viento_lag_4,vel_viento_lag_4,nino_lag_4,caudal_minimo_lag_4,humedad_lag_5,temp_lag_5,temp_max_lag_5,temp_min_lag_5,prep_lag_5,soil_perfil_lag_5,soil_superf_lag_5,dir_viento_lag_5,vel_viento_lag_5,nino_lag_5,caudal_minimo_lag_5,humedad_lag_6,temp_lag_6,temp_max_lag_6,temp_min_lag_6,prep_lag_6,soil_perfil_lag_6,soil_superf_lag_6,dir_viento_lag_6,vel_viento_lag_6,nino_lag_6,caudal_minimo_lag_6,caudal_minimo_lag_12
0,43.6,0,13.66,21.43,27.44,16.27,81.17,0.73,0.74,260.4,0.52,26.4,32.6,14.69,21.57,27.08,16.34,88.92,0.81,0.83,297.4,0.42,28.08,79.5,15.07,21.67,26.51,16.25,160.63,0.86,0.87,233.2,0.43,26.06,70.5,13.63,22.53,30.15,15.86,121.29,0.62,0.62,244.4,0.68,27.57,26.8,15.37,21.04,27.33,17.2,279.39,0.95,0.94,240.0,0.74,24.67,166.0,15.5,20.86,26.75,16.21,165.21,0.95,0.93,244.9,1.0,24.8,211.0,50.0
1,32.6,26,14.69,21.57,27.08,16.34,88.92,0.81,0.83,297.4,0.42,28.08,79.5,15.07,21.67,26.51,16.25,160.63,0.86,0.87,233.2,0.43,26.06,70.5,13.63,22.53,30.15,15.86,121.29,0.62,0.62,244.4,0.68,27.57,26.8,15.37,21.04,27.33,17.2,279.39,0.95,0.94,240.0,0.74,24.67,166.0,15.5,20.86,26.75,16.21,165.21,0.95,0.93,244.9,1.0,24.8,211.0,15.18,20.81,26.22,16.61,289.76,0.96,0.94,247.5,0.73,24.7,153.0,25.9
2,29.6,59,15.79,22.09,28.03,17.71,69.41,0.8,0.83,238.7,0.6,27.16,96.0,15.0,21.54,27.14,17.39,233.56,0.82,0.85,241.6,0.51,26.22,74.5,13.68,20.77,26.33,15.3,97.85,0.83,0.84,280.7,0.47,25.86,43.6,13.66,21.43,27.44,16.27,81.17,0.73,0.74,260.4,0.52,26.4,32.6,14.69,21.57,27.08,16.34,88.92,0.81,0.83,297.4,0.42,28.08,79.5,15.07,21.67,26.51,16.25,160.63,0.86,0.87,233.2,0.43,26.06,70.5,24.2
3,26.8,63,15.37,21.04,27.33,17.2,279.39,0.95,0.94,240.0,0.74,24.67,166.0,15.5,20.86,26.75,16.21,165.21,0.95,0.93,244.9,1.0,24.8,211.0,15.18,20.81,26.22,16.61,289.76,0.96,0.94,247.5,0.73,24.7,153.0,15.91,22.18,28.42,18.55,153.35,0.74,0.78,237.9,0.82,26.71,139.0,14.28,22.51,29.48,15.18,64.74,0.67,0.67,244.9,0.58,26.61,24.2,16.09,21.41,27.48,17.74,262.33,0.87,0.89,236.9,0.98,26.19,224.0,21.5
4,30.1,93,12.84,22.23,30.51,16.71,50.42,0.65,0.63,275.4,0.65,27.11,29.6,15.79,22.09,28.03,17.71,69.41,0.8,0.83,238.7,0.6,27.16,96.0,15.0,21.54,27.14,17.39,233.56,0.82,0.85,241.6,0.51,26.22,74.5,13.68,20.77,26.33,15.3,97.85,0.83,0.84,280.7,0.47,25.86,43.6,13.66,21.43,27.44,16.27,81.17,0.73,0.74,260.4,0.52,26.4,32.6,14.69,21.57,27.08,16.34,88.92,0.81,0.83,297.4,0.42,28.08,79.5,139.0
5,96.0,150,15.0,21.54,27.14,17.39,233.56,0.82,0.85,241.6,0.51,26.22,74.5,13.68,20.77,26.33,15.3,97.85,0.83,0.84,280.7,0.47,25.86,43.6,13.66,21.43,27.44,16.27,81.17,0.73,0.74,260.4,0.52,26.4,32.6,14.69,21.57,27.08,16.34,88.92,0.81,0.83,297.4,0.42,28.08,79.5,15.07,21.67,26.51,16.25,160.63,0.86,0.87,233.2,0.43,26.06,70.5,13.63,22.53,30.15,15.86,121.29,0.62,0.62,244.4,0.68,27.57,26.8,224.0
6,74.5,178,13.68,20.77,26.33,15.3,97.85,0.83,0.84,280.7,0.47,25.86,43.6,13.66,21.43,27.44,16.27,81.17,0.73,0.74,260.4,0.52,26.4,32.6,14.69,21.57,27.08,16.34,88.92,0.81,0.83,297.4,0.42,28.08,79.5,15.07,21.67,26.51,16.25,160.63,0.86,0.87,233.2,0.43,26.06,70.5,13.63,22.53,30.15,15.86,121.29,0.62,0.62,244.4,0.68,27.57,26.8,15.37,21.04,27.33,17.2,279.39,0.95,0.94,240.0,0.74,24.67,166.0,127.0
7,70.5,198,13.63,22.53,30.15,15.86,121.29,0.62,0.62,244.4,0.68,27.57,26.8,15.37,21.04,27.33,17.2,279.39,0.95,0.94,240.0,0.74,24.67,166.0,15.5,20.86,26.75,16.21,165.21,0.95,0.93,244.9,1.0,24.8,211.0,15.18,20.81,26.22,16.61,289.76,0.96,0.94,247.5,0.73,24.7,153.0,15.91,22.18,28.42,18.55,153.35,0.74,0.78,237.9,0.82,26.71,139.0,14.28,22.51,29.48,15.18,64.74,0.67,0.67,244.9,0.58,26.61,24.2,116.0
8,168.0,217,14.99,20.65,26.48,16.36,193.32,0.91,0.91,228.8,0.76,27.28,334.0,14.83,21.46,27.31,16.85,71.96,0.87,0.88,254.1,0.51,27.5,153.0,15.44,22.12,29.61,17.36,258.28,0.72,0.76,232.7,0.75,27.64,30.1,12.84,22.23,30.51,16.71,50.42,0.65,0.63,275.4,0.65,27.11,29.6,15.79,22.09,28.03,17.71,69.41,0.8,0.83,238.7,0.6,27.16,96.0,15.0,21.54,27.14,17.39,233.56,0.82,0.85,241.6,0.51,26.22,74.5,166.0
9,334.0,272,14.83,21.46,27.31,16.85,71.96,0.87,0.88,254.1,0.51,27.5,153.0,15.44,22.12,29.61,17.36,258.28,0.72,0.76,232.7,0.75,27.64,30.1,12.84,22.23,30.51,16.71,50.42,0.65,0.63,275.4,0.65,27.11,29.6,15.79,22.09,28.03,17.71,69.41,0.8,0.83,238.7,0.6,27.16,96.0,15.0,21.54,27.14,17.39,233.56,0.82,0.85,241.6,0.51,26.22,74.5,13.68,20.77,26.33,15.3,97.85,0.83,0.84,280.7,0.47,25.86,43.6,211.0
