-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  9.0922   Longitude -83.2783 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 899.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,63.21,105.39,64.74,150.28,153.35,262.33,65.85,244.48,279.39,165.21,289.76,145.13,1989.12
PRECTOTCORR_SUM,1982,97.85,81.17,50.42,121.29,258.28,69.41,233.56,160.63,167.25,193.32,71.96,88.92,1594.06
PRECTOTCORR_SUM,1983,42.82,0.78,31.39,138.11,113.99,154.7,121.92,132.5,310.84,285.09,85.19,69.39,1486.72
PRECTOTCORR_SUM,1984,17.53,21.29,35.06,74.55,179.7,177.04,171.78,206.43,168.08,225.9,92.39,39.08,1408.83
PRECTOTCORR_SUM,1985,48.26,8.59,18.91,22.91,58.88,297.92,171.51,218.6,204.3,129.03,93.57,62.78,1335.26
PRECTOTCORR_SUM,1986,61.06,4.54,10.25,23.2,95.41,335.5,144.76,246.79,173.21,374.92,141.23,72.52,1683.39
PRECTOTCORR_SUM,1987,37.5,21.86,46.94,120.39,178.75,168.33,229.98,227.48,143.76,260.62,91.34,31.77,1558.72
PRECTOTCORR_SUM,1988,65.8,12.59,18.08,44.53,73.97,122.6,195.9,258.78,237.12,202.47,215.18,18.16,1465.18
PRECTOTCORR_SUM,1989,13.61,3.85,7.83,6.06,106.6,247.08,113.06,141.44,196.74,180.02,95.45,80.16,1191.9
PRECTOTCORR_SUM,1990,24.82,14.86,22.43,42.41,250.54,150.76,126.79,154.13,83.29,272.33,95.2,52.8,1290.36
