-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  9.0922   Longitude -83.2783 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 899.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,1981,91.31,91.17,91.25,91.15,91.22,91.22,91.28,91.25,91.25,91.19,91.18,91.18,91.22
PS,1982,91.27,91.25,91.19,91.24,91.19,91.2,91.18,91.21,91.2,91.18,91.1,91.14,91.19
PS,1983,91.09,91.14,91.16,91.13,91.1,91.21,91.2,91.33,91.27,91.22,91.23,91.28,91.2
PS,1984,91.26,91.12,91.2,91.22,91.21,91.23,91.24,91.25,91.22,91.21,91.26,91.1,91.21
PS,1985,91.32,91.18,91.16,91.19,91.2,91.25,91.32,91.28,91.23,91.21,91.23,91.27,91.24
PS,1986,91.25,91.29,91.26,91.16,91.18,91.22,91.33,91.2,91.23,91.29,91.14,91.21,91.23
PS,1987,91.19,91.12,91.14,91.18,91.19,91.26,91.17,91.25,91.29,91.21,91.21,91.2,91.2
PS,1988,91.28,91.19,91.26,91.27,91.28,91.33,91.37,91.3,91.29,91.22,91.26,91.27,91.28
PS,1989,91.22,91.28,91.3,91.15,91.28,91.3,91.32,91.3,91.18,91.26,91.17,91.33,91.26
PS,1990,91.12,91.33,91.23,91.2,91.22,91.22,91.31,91.31,91.27,91.25,91.15,91.22,91.24
PS,1991,91.29,91.27,91.22,91.21,91.22,91.26,91.3,91.31,91.23,91.19,91.19,91.19,91.24
PS,1992,91.2,91.24,91.17,91.13,91.14,91.14,91.3,91.33,91.19,91.19,91.17,91.2,91.2
PS,1993,91.28,91.26,91.24,91.15,91.17,91.19,91.27,91.28,91.25,91.21,91.22,91.2,91.23
PS,1994,91.27,91.25,91.28,91.24,91.2,91.26,91.25,91.28,91.24,91.2,91.22,91.22,91.24
PS,1995,91.27,91.33,91.26,91.13,91.25,91.25,91.25,91.26,91.29,91.18,91.24,91.29,91.25
PS,1996,91.23,91.22,91.25,91.23,91.27,91.26,91.33,91.31,91.21,91.19,91.16,91.17,91.24
PS,1997,91.37,91.16,91.22,91.22,91.16,91.18,91.18,91.23,91.2,91.17,91.16,91.16,91.2
PS,1998,91.11,91.22,91.14,91.18,91.25,91.28,91.31,91.28,91.27,91.22,91.21,91.25,91.23
PS,1999,91.25,91.31,91.18,91.23,91.29,91.27,91.32,91.31,91.25,91.25,91.24,91.27,91.26
PS,2000,91.3,91.37,91.24,91.26,91.25,91.27,91.26,91.24,91.22,91.22,91.19,91.23,91.25
PS,2001,91.33,91.18,91.25,91.25,91.25,91.26,91.29,91.27,91.28,91.2,91.23,91.14,91.24
PS,2002,91.28,91.27,91.24,91.24,91.19,91.26,91.31,91.22,91.23,91.15,91.22,91.26,91.24
PS,2003,91.29,91.22,91.21,91.24,91.21,91.25,91.28,91.3,91.25,91.18,91.17,91.2,91.23
PS,2004,91.33,91.3,91.18,91.26,91.23,91.27,91.29,91.28,91.25,91.22,91.19,91.25,91.25
PS,2005,91.28,91.22,91.3,91.2,91.21,91.2,91.29,91.26,91.25,91.24,91.21,91.28,91.25
PS,2006,91.22,91.25,91.25,91.23,91.25,91.24,91.28,91.23,91.28,91.2,91.15,91.27,91.24
PS,2007,91.21,91.31,91.21,91.28,91.23,91.26,91.31,91.27,91.26,91.21,91.14,91.28,91.25
PS,2008,91.25,91.33,91.29,91.2,91.25,91.25,91.31,91.26,91.25,91.28,91.21,91.29,91.26
PS,2009,91.31,91.22,91.24,91.28,91.25,91.25,91.24,91.24,91.22,91.15,91.11,91.2,91.22
PS,2010,91.17,91.13,91.18,91.22,91.24,91.33,91.32,91.3,91.27,91.26,91.24,91.2,91.24
PS,2011,91.18,91.25,91.27,91.27,91.19,91.23,91.22,91.26,91.31,91.23,91.23,91.2,91.24
PS,2012,91.3,91.25,91.18,91.26,91.2,91.26,91.22,91.29,91.3,91.22,91.25,91.2,91.24
PS,2013,91.25,91.23,91.24,91.25,91.31,91.23,91.3,91.26,91.22,91.22,91.19,91.24,91.25
PS,2014,91.24,91.21,91.28,91.2,91.27,91.23,91.28,91.31,91.26,91.24,91.23,91.23,91.25
PS,2015,91.26,91.27,91.28,91.19,91.24,91.2,91.26,91.21,91.21,91.24,91.12,91.14,91.22
PS,2016,91.31,91.2,91.32,91.25,91.3,91.35,91.32,91.27,91.34,91.21,91.19,91.27,91.28
PS,2017,91.32,91.31,91.32,91.22,91.28,91.27,91.32,91.3,91.27,91.19,91.18,91.25,91.27
PS,2018,91.22,91.31,91.22,91.32,91.29,91.29,91.28,91.31,91.2,91.26,91.22,91.27,91.27
PS,2019,91.3,91.27,91.28,91.3,91.25,91.26,91.29,91.3,91.3,91.22,91.21,91.22,91.27
PS,2020,91.31,91.3,91.36,91.33,91.29,91.3,91.28,91.27,91.27,91.2,91.24,91.27,91.28
PS,2021,91.21,91.24,91.27,91.22,91.3,91.35,91.33,91.34,91.32,91.26,91.28,91.25,91.28
PS,2022,91.32,91.29,91.27,91.2,91.27,91.28,91.29,91.28,91.28,91.28,91.24,91.26,91.27
PS,2023,91.33,91.27,91.31,91.23,91.23,91.24,91.28,91.25,91.22,91.22,91.16,91.2,91.25
PS,2024,91.28,91.3,91.27,91.27,91.21,91.28,91.28,91.35,91.21,91.26,91.22,91.26,91.27
PS,2025,91.32,91.27,91.31,91.26,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
