-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  9.0922   Longitude -83.2783 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 899.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETPROF     MERRA-2 Profile Soil Moisture (1) 
GWETTOP      MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETPROF,1981,0.79,0.71,0.67,0.64,0.74,0.87,0.87,0.86,0.95,0.95,0.96,0.93,0.83
GWETPROF,1982,0.83,0.73,0.65,0.62,0.72,0.8,0.82,0.86,0.84,0.91,0.87,0.81,0.79
GWETPROF,1983,0.7,0.59,0.56,0.56,0.66,0.73,0.74,0.75,0.83,0.93,0.92,0.86,0.74
GWETPROF,1984,0.75,0.62,0.58,0.59,0.61,0.75,0.83,0.89,0.92,0.94,0.92,0.82,0.77
GWETPROF,1985,0.71,0.6,0.56,0.55,0.55,0.67,0.82,0.85,0.93,0.89,0.86,0.82,0.74
GWETPROF,1986,0.72,0.61,0.56,0.54,0.57,0.65,0.87,0.85,0.9,0.96,0.93,0.84,0.75
GWETPROF,1987,0.74,0.63,0.58,0.61,0.69,0.77,0.78,0.9,0.9,0.92,0.92,0.82,0.77
GWETPROF,1988,0.68,0.61,0.56,0.56,0.57,0.63,0.75,0.87,0.92,0.95,0.95,0.86,0.74
GWETPROF,1989,0.71,0.59,0.55,0.53,0.56,0.7,0.79,0.8,0.87,0.88,0.89,0.85,0.73
GWETPROF,1990,0.7,0.6,0.56,0.54,0.67,0.78,0.81,0.82,0.82,0.88,0.91,0.84,0.75
GWETPROF,1991,0.72,0.64,0.58,0.54,0.59,0.63,0.69,0.73,0.72,0.85,0.83,0.77,0.69
GWETPROF,1992,0.63,0.57,0.54,0.53,0.59,0.63,0.72,0.81,0.78,0.83,0.81,0.73,0.68
GWETPROF,1993,0.65,0.58,0.55,0.56,0.65,0.77,0.85,0.85,0.94,0.91,0.86,0.76,0.75
GWETPROF,1994,0.63,0.56,0.54,0.53,0.58,0.65,0.73,0.79,0.81,0.89,0.92,0.81,0.7
GWETPROF,1995,0.66,0.57,0.55,0.59,0.74,0.9,0.92,0.97,0.97,0.95,0.92,0.82,0.8
GWETPROF,1996,0.72,0.61,0.56,0.55,0.6,0.74,0.9,0.86,0.9,0.93,0.9,0.84,0.76
GWETPROF,1997,0.74,0.64,0.57,0.55,0.68,0.77,0.81,0.84,0.9,0.95,0.95,0.92,0.78
GWETPROF,1998,0.74,0.6,0.55,0.54,0.59,0.81,0.91,0.97,0.98,0.98,0.96,0.96,0.8
GWETPROF,1999,0.84,0.73,0.64,0.61,0.84,0.94,0.96,0.97,0.98,0.98,0.96,0.92,0.87
GWETPROF,2000,0.82,0.7,0.62,0.59,0.65,0.83,0.9,0.92,0.96,0.94,0.95,0.88,0.81
GWETPROF,2001,0.78,0.64,0.58,0.57,0.67,0.8,0.87,0.9,0.92,0.94,0.96,0.88,0.79
GWETPROF,2002,0.78,0.66,0.59,0.57,0.69,0.83,0.93,0.94,0.97,0.96,0.95,0.89,0.81
GWETPROF,2003,0.73,0.62,0.58,0.61,0.76,0.88,0.86,0.82,0.8,0.86,0.95,0.94,0.79
GWETPROF,2004,0.81,0.66,0.61,0.59,0.71,0.78,0.83,0.83,0.87,0.9,0.95,0.91,0.79
GWETPROF,2005,0.83,0.72,0.65,0.67,0.79,0.88,0.91,0.95,0.97,0.97,0.98,0.88,0.85
GWETPROF,2006,0.84,0.75,0.65,0.64,0.73,0.86,0.92,0.94,0.94,0.94,0.95,0.91,0.84
GWETPROF,2007,0.81,0.66,0.59,0.62,0.75,0.9,0.92,0.93,0.96,0.97,0.97,0.92,0.83
GWETPROF,2008,0.84,0.71,0.63,0.62,0.68,0.87,0.95,0.97,0.95,0.96,0.95,0.91,0.84
GWETPROF,2009,0.76,0.67,0.65,0.6,0.66,0.82,0.9,0.91,0.9,0.94,0.96,0.88,0.81
GWETPROF,2010,0.76,0.66,0.65,0.61,0.78,0.87,0.95,0.96,0.98,0.97,0.97,0.92,0.84
GWETPROF,2011,0.82,0.71,0.65,0.61,0.62,0.77,0.9,0.93,0.94,0.96,0.96,0.93,0.82
GWETPROF,2012,0.84,0.69,0.61,0.62,0.71,0.79,0.84,0.93,0.94,0.92,0.94,0.87,0.81
GWETPROF,2013,0.75,0.63,0.6,0.62,0.68,0.81,0.89,0.91,0.92,0.96,0.94,0.88,0.8
GWETPROF,2014,0.76,0.65,0.59,0.61,0.74,0.81,0.88,0.92,0.94,0.94,0.94,0.93,0.81
GWETPROF,2015,0.86,0.77,0.69,0.64,0.69,0.86,0.91,0.89,0.9,0.94,0.95,0.9,0.83
GWETPROF,2016,0.8,0.7,0.61,0.59,0.68,0.83,0.9,0.92,0.95,0.94,0.98,0.95,0.82
GWETPROF,2017,0.87,0.72,0.64,0.63,0.78,0.93,0.96,0.96,0.95,0.96,0.97,0.93,0.86
GWETPROF,2018,0.93,0.84,0.73,0.7,0.79,0.93,0.97,0.96,0.95,0.97,0.94,0.87,0.88
GWETPROF,2019,0.72,0.6,0.59,0.61,0.79,0.91,0.94,0.93,0.94,0.96,0.96,0.92,0.82
GWETPROF,2020,0.88,0.79,0.65,0.65,0.73,0.89,0.94,0.95,0.95,0.96,0.97,0.94,0.86
GWETPROF,2021,0.88,0.75,0.66,0.72,0.85,0.92,0.94,0.97,0.96,0.97,0.94,0.9,0.87
GWETPROF,2022,0.78,0.65,0.61,0.69,0.84,0.92,0.96,0.96,0.96,0.97,0.97,0.91,0.85
GWETPROF,2023,0.82,0.71,0.67,0.65,0.67,0.84,0.91,0.94,0.94,0.96,0.98,0.92,0.83
GWETPROF,2024,0.8,0.69,0.62,0.65,0.78,0.95,0.98,0.96,0.95,0.96,0.99,0.95,0.86
GWETPROF,2025,0.89,0.82,0.75,0.73,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
GWETTOP,1981,0.81,0.72,0.67,0.66,0.78,0.89,0.87,0.88,0.94,0.93,0.94,0.92,0.83
GWETTOP,1982,0.84,0.74,0.63,0.62,0.76,0.83,0.85,0.87,0.86,0.91,0.88,0.83,0.8
GWETTOP,1983,0.7,0.51,0.48,0.5,0.69,0.78,0.78,0.79,0.87,0.93,0.91,0.87,0.74
GWETTOP,1984,0.77,0.61,0.5,0.58,0.62,0.8,0.86,0.89,0.91,0.93,0.91,0.84,0.77
GWETTOP,1985,0.72,0.54,0.44,0.45,0.51,0.72,0.85,0.87,0.92,0.89,0.87,0.84,0.72
GWETTOP,1986,0.74,0.56,0.44,0.43,0.56,0.7,0.88,0.87,0.91,0.95,0.92,0.86,0.74
GWETTOP,1987,0.76,0.61,0.52,0.62,0.73,0.81,0.82,0.91,0.9,0.92,0.91,0.83,0.78
GWETTOP,1988,0.69,0.57,0.45,0.51,0.56,0.66,0.8,0.89,0.92,0.94,0.94,0.87,0.73
GWETTOP,1989,0.72,0.49,0.42,0.36,0.55,0.76,0.82,0.83,0.89,0.89,0.89,0.86,0.71
GWETTOP,1990,0.71,0.54,0.46,0.45,0.72,0.82,0.84,0.85,0.84,0.9,0.9,0.85,0.74
GWETTOP,1991,0.74,0.62,0.47,0.43,0.6,0.65,0.72,0.76,0.77,0.87,0.85,0.79,0.69
GWETTOP,1992,0.61,0.49,0.41,0.41,0.59,0.65,0.78,0.84,0.81,0.86,0.83,0.75,0.67
GWETTOP,1993,0.65,0.54,0.44,0.5,0.69,0.81,0.86,0.87,0.93,0.91,0.87,0.79,0.74
GWETTOP,1994,0.6,0.43,0.41,0.39,0.58,0.68,0.77,0.82,0.84,0.9,0.91,0.83,0.68
GWETTOP,1995,0.65,0.46,0.45,0.6,0.79,0.91,0.92,0.96,0.95,0.93,0.91,0.84,0.78
GWETTOP,1996,0.73,0.56,0.43,0.47,0.62,0.79,0.9,0.87,0.9,0.92,0.9,0.85,0.75
GWETTOP,1997,0.77,0.62,0.48,0.45,0.72,0.81,0.83,0.87,0.91,0.94,0.94,0.91,0.77
GWETTOP,1998,0.74,0.53,0.4,0.44,0.62,0.85,0.92,0.96,0.96,0.96,0.94,0.94,0.77
GWETTOP,1999,0.85,0.75,0.62,0.58,0.87,0.94,0.94,0.96,0.97,0.97,0.95,0.92,0.86
GWETTOP,2000,0.83,0.69,0.53,0.57,0.69,0.86,0.91,0.92,0.95,0.93,0.93,0.89,0.81
GWETTOP,2001,0.8,0.62,0.5,0.53,0.71,0.84,0.89,0.9,0.92,0.94,0.95,0.88,0.79
GWETTOP,2002,0.8,0.64,0.5,0.5,0.72,0.86,0.93,0.93,0.95,0.94,0.94,0.89,0.8
GWETTOP,2003,0.74,0.58,0.53,0.61,0.81,0.88,0.87,0.85,0.83,0.88,0.94,0.93,0.79
GWETTOP,2004,0.82,0.66,0.58,0.55,0.75,0.82,0.85,0.85,0.88,0.9,0.94,0.91,0.79
GWETTOP,2005,0.85,0.72,0.65,0.69,0.83,0.89,0.91,0.94,0.96,0.96,0.96,0.88,0.85
GWETTOP,2006,0.86,0.76,0.62,0.63,0.77,0.88,0.92,0.93,0.93,0.93,0.94,0.9,0.84
