-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  10.565   Longitude -85.5917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 94.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETPROF     MERRA-2 Profile Soil Moisture (1) 
GWETTOP      MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETPROF,1981,0.63,0.49,0.46,0.47,0.58,0.7,0.68,0.74,0.81,0.88,0.85,0.68,0.67
GWETPROF,1982,0.53,0.47,0.46,0.46,0.63,0.77,0.65,0.55,0.57,0.64,0.58,0.49,0.57
GWETPROF,1983,0.46,0.46,0.46,0.46,0.47,0.52,0.55,0.52,0.58,0.65,0.64,0.56,0.53
GWETPROF,1984,0.48,0.46,0.46,0.46,0.5,0.61,0.61,0.63,0.68,0.7,0.61,0.5,0.56
GWETPROF,1985,0.46,0.46,0.46,0.46,0.48,0.49,0.55,0.55,0.53,0.5,0.52,0.48,0.5
GWETPROF,1986,0.46,0.46,0.46,0.46,0.5,0.64,0.66,0.64,0.71,0.7,0.65,0.55,0.57
GWETPROF,1987,0.48,0.46,0.46,0.49,0.46,0.47,0.53,0.52,0.48,0.5,0.47,0.46,0.48
GWETPROF,1988,0.46,0.46,0.46,0.46,0.47,0.52,0.51,0.53,0.66,0.66,0.58,0.49,0.52
GWETPROF,1989,0.46,0.46,0.46,0.45,0.46,0.47,0.48,0.5,0.6,0.61,0.55,0.49,0.5
GWETPROF,1990,0.46,0.46,0.46,0.46,0.48,0.57,0.62,0.56,0.58,0.63,0.58,0.5,0.53
GWETPROF,1991,0.47,0.46,0.46,0.46,0.51,0.6,0.6,0.52,0.54,0.61,0.53,0.47,0.52
GWETPROF,1992,0.46,0.46,0.46,0.46,0.52,0.64,0.64,0.63,0.64,0.65,0.59,0.51,0.56
GWETPROF,1993,0.46,0.46,0.46,0.46,0.57,0.72,0.67,0.58,0.57,0.55,0.49,0.46,0.54
GWETPROF,1994,0.46,0.46,0.45,0.45,0.46,0.48,0.47,0.48,0.5,0.52,0.51,0.47,0.48
GWETPROF,1995,0.46,0.46,0.46,0.46,0.53,0.57,0.58,0.61,0.69,0.83,0.72,0.55,0.58
GWETPROF,1996,0.48,0.46,0.46,0.46,0.48,0.52,0.56,0.51,0.52,0.56,0.55,0.49,0.5
GWETPROF,1997,0.46,0.46,0.46,0.46,0.46,0.54,0.57,0.55,0.55,0.64,0.61,0.54,0.53
GWETPROF,1998,0.47,0.46,0.46,0.46,0.46,0.5,0.55,0.64,0.69,0.74,0.76,0.6,0.57
GWETPROF,1999,0.5,0.47,0.46,0.46,0.5,0.56,0.63,0.67,0.72,0.83,0.72,0.55,0.59
GWETPROF,2000,0.48,0.46,0.46,0.46,0.51,0.58,0.56,0.55,0.7,0.76,0.62,0.5,0.55
GWETPROF,2001,0.46,0.46,0.46,0.46,0.51,0.67,0.58,0.61,0.7,0.74,0.76,0.56,0.58
GWETPROF,2002,0.47,0.46,0.46,0.46,0.51,0.68,0.66,0.64,0.8,0.87,0.83,0.6,0.62
GWETPROF,2003,0.48,0.46,0.46,0.46,0.56,0.71,0.67,0.62,0.59,0.62,0.66,0.58,0.57
GWETPROF,2004,0.49,0.46,0.46,0.46,0.51,0.6,0.57,0.58,0.72,0.81,0.76,0.6,0.59
GWETPROF,2005,0.48,0.46,0.46,0.46,0.58,0.81,0.86,0.8,0.88,0.98,0.87,0.66,0.69
