-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  10.565   Longitude -85.5917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 94.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD2M,1981,48.3,56.3,60.2,59.1,12.8,1.5,66.9,358.2,72.4,12.1,37.4,51.0,50.7
WD2M,1982,58.6,61.8,62.0,69.1,160.8,50.3,57.3,62.0,66.9,57.5,56.4,53.6,59.8
WD2M,1983,49.6,50.3,47.0,59.3,73.3,79.5,60.7,61.8,77.9,61.1,49.0,56.0,57.2
WD2M,1984,51.4,54.4,50.9,47.0,66.0,72.8,61.9,51.9,298.1,51.8,37.1,51.3,51.7
WD2M,1985,53.9,55.7,56.3,57.3,59.1,63.3,65.5,70.0,50.2,7.9,53.5,53.3,56.7
WD2M,1986,53.2,56.0,52.3,59.9,92.0,62.9,60.7,63.0,65.6,47.6,57.3,54.4,57.1
WD2M,1987,54.0,55.4,46.3,58.9,71.6,72.4,66.3,69.4,71.9,35.6,54.0,53.1,58.0
WD2M,1988,56.6,55.8,58.2,63.0,81.8,259.8,70.6,265.4,240.7,61.1,30.6,52.2,52.9
WD2M,1989,55.8,53.7,57.7,62.8,69.4,72.8,63.5,109.6,246.9,50.9,49.9,49.2,58.3
WD2M,1990,55.3,59.0,59.1,60.8,69.6,65.1,68.2,68.7,55.3,264.2,45.3,55.0,59.0
WD2M,1991,60.5,56.1,52.1,61.5,73.5,64.7,60.3,61.4,48.9,354.8,53.9,56.5,57.4
WD2M,1992,57.9,56.4,60.1,51.3,54.2,24.9,66.9,64.2,234.7,61.4,55.7,55.5,57.2
WD2M,1993,53.2,55.2,57.0,52.2,283.9,23.3,63.1,65.7,22.6,44.0,50.8,54.3,53.4
WD2M,1994,57.6,57.7,59.6,61.5,40.5,65.1,64.6,66.9,86.1,293.4,36.7,57.0,57.9
WD2M,1995,56.1,57.9,57.1,55.6,69.8,265.4,78.4,255.4,261.1,263.0,58.7,55.3,46.7
WD2M,1996,51.9,55.5,50.6,68.3,57.3,41.2,67.7,87.6,247.8,261.5,42.9,53.7,53.1
WD2M,1997,60.1,56.4,61.7,60.4,62.8,68.6,60.9,58.6,133.9,23.8,52.9,56.4,58.5
WD2M,1998,56.8,33.4,49.4,53.6,46.2,68.9,61.9,62.9,246.4,233.7,41.7,48.1,50.5
WD2M,1999,56.7,55.0,58.5,61.3,68.4,46.9,60.2,83.0,257.2,273.4,17.0,46.0,47.8
WD2M,2000,51.1,54.3,61.9,63.6,72.5,67.9,62.3,63.3,258.3,45.9,55.3,49.2,55.9
WD2M,2001,54.7,59.4,56.8,61.9,83.0,62.7,66.7,60.5,229.3,323.5,38.5,49.7,57.2
