humedad,temp,temp_max,temp_min,prep,soil_perfil,soil_superf,dir_viento,vel_viento,nino,caudal_minimo,fecha
13.42,20.64,26.13,15.18,63.21,0.79,0.81,280.8,0.48,24.95,50.0,1981-01-30
14.1,21.6,27.53,16.7,105.39,0.71,0.72,263.8,0.51,25.52,27.4,1981-02-21
14.28,22.51,29.48,15.18,64.74,0.67,0.67,244.9,0.58,26.61,24.2,1981-03-31
15.15,22.68,29.71,18.18,150.28,0.64,0.66,232.9,0.7,27.06,21.5,1981-04-10
15.91,22.18,28.42,18.55,153.35,0.74,0.78,237.9,0.82,26.71,139.0,1981-05-22
16.09,21.41,27.48,17.74,262.33,0.87,0.89,236.9,0.98,26.19,224.0,1981-06-24
14.96,21.18,26.58,17.06,65.85,0.87,0.87,243.6,0.6,25.21,127.0,1981-07-31
15.23,20.96,26.48,17.49,244.48,0.86,0.88,246.2,0.85,24.38,116.0,1981-08-02
15.37,21.04,27.33,17.2,279.39,0.95,0.94,240.0,0.74,24.67,166.0,1981-09-23
15.5,20.86,26.75,16.21,165.21,0.95,0.93,244.9,1.0,24.8,211.0,1981-10-06
15.18,20.81,26.22,16.61,289.76,0.96,0.94,247.5,0.73,24.7,153.0,1981-11-23
14.96,21.05,26.66,16.92,145.13,0.93,0.92,247.1,0.54,25.17,65.1,1981-12-29
13.68,20.77,26.33,15.3,97.85,0.83,0.84,280.7,0.47,25.86,43.6,1982-01-30
13.66,21.43,27.44,16.27,81.17,0.73,0.74,260.4,0.52,26.4,32.6,1982-02-25
12.84,22.23,30.51,16.71,50.42,0.65,0.63,275.4,0.65,27.11,29.6,1982-03-30
13.63,22.53,30.15,15.86,121.29,0.62,0.62,244.4,0.68,27.57,26.8,1982-04-03
15.44,22.12,29.61,17.36,258.28,0.72,0.76,232.7,0.75,27.64,30.1,1982-05-03
15.79,22.09,28.03,17.71,69.41,0.8,0.83,238.7,0.6,27.16,96.0,1982-06-29
15.0,21.54,27.14,17.39,233.56,0.82,0.85,241.6,0.51,26.22,74.5,1982-07-27
15.07,21.67,26.51,16.25,160.63,0.86,0.87,233.2,0.43,26.06,70.5,1982-08-16
15.4,21.5,27.73,17.96,167.25,0.84,0.86,242.8,0.81,26.79,168.0,1982-09-04
14.99,20.65,26.48,16.36,193.32,0.91,0.91,228.8,0.76,27.28,334.0,1982-10-29
14.83,21.46,27.31,16.85,71.96,0.87,0.88,254.1,0.51,27.5,153.0,1982-11-28
14.69,21.57,27.08,16.34,88.92,0.81,0.83,297.4,0.42,28.08,79.5,1982-12-28
14.48,22.36,28.9,16.87,42.82,0.7,0.7,296.7,0.57,28.66,48.3,1983-01-30
13.58,23.48,31.98,17.98,0.78,0.59,0.51,257.7,0.69,28.71,40.9,1983-02-10
13.96,23.81,32.02,18.33,31.39,0.56,0.48,251.3,0.71,28.89,34.1,1983-03-31
13.79,23.92,33.07,18.39,138.11,0.56,0.5,234.3,0.74,29.13,27.7,1983-04-21
15.97,23.07,29.97,17.99,113.99,0.66,0.69,239.3,0.65,28.98,30.1,1983-05-03
15.9,22.37,28.47,18.8,154.7,0.73,0.78,238.7,0.71,28.14,96.0,1983-06-29
15.42,22.39,28.56,18.2,121.92,0.74,0.78,237.5,0.54,26.61,74.5,1983-07-27
15.03,21.98,27.98,17.12,132.5,0.75,0.79,233.6,0.55,25.77,70.5,1983-08-16
15.04,21.41,27.33,17.09,310.84,0.83,0.87,234.4,0.64,25.03,108.0,1983-09-04
15.11,20.86,26.67,15.31,285.09,0.93,0.93,225.3,0.7,24.37,334.0,1983-10-29
15.64,21.13,26.21,17.42,85.19,0.92,0.91,232.7,0.89,24.07,153.0,1983-11-28
14.79,20.9,25.94,16.47,69.39,0.86,0.87,240.8,0.57,24.39,79.5,1983-12-28
13.48,20.86,26.65,13.93,17.53,0.75,0.77,262.4,0.45,25.08,48.3,1984-01-30
13.58,21.74,28.59,15.17,21.29,0.62,0.61,247.5,0.57,26.26,40.9,1984-02-10
13.16,22.78,31.13,16.55,35.06,0.58,0.5,229.0,0.81,26.97,34.1,1984-03-31
13.69,22.92,30.38,16.91,74.55,0.59,0.58,232.4,0.74,27.09,27.7,1984-04-21
14.86,22.27,29.43,17.94,179.7,0.61,0.62,239.7,0.81,26.32,77.0,1984-05-03
15.1,21.14,26.82,16.95,177.04,0.75,0.8,240.7,0.76,25.45,114.0,1984-06-20
14.94,20.87,26.39,15.83,171.78,0.83,0.86,239.6,0.79,25.03,112.0,1984-07-27
15.31,21.03,26.75,17.07,206.43,0.89,0.89,238.4,0.8,24.71,106.0,1984-08-09
15.24,20.66,26.62,17.44,168.08,0.92,0.91,246.0,0.9,24.56,190.0,1984-09-07
15.51,20.83,26.67,17.17,225.9,0.94,0.93,240.1,0.97,24.31,224.0,1984-10-01
14.66,20.46,25.54,15.49,92.39,0.92,0.91,240.9,0.82,24.11,180.0,1984-11-30
14.03,21.07,25.87,15.97,39.08,0.82,0.84,281.7,0.38,23.96,62.8,1984-12-29
12.64,20.42,26.6,15.64,48.26,0.71,0.72,303.7,0.47,24.4,38.6,1985-01-31
12.21,21.97,29.26,16.06,8.59,0.6,0.54,325.3,0.66,25.5,26.2,1985-02-28
12.0,22.89,30.97,15.84,18.91,0.56,0.44,307.8,0.78,26.42,22.3,1985-03-31
12.64,23.36,31.39,17.73,22.91,0.55,0.45,239.4,0.74,26.53,20.7,1985-04-13
14.53,22.59,30.99,18.06,58.88,0.55,0.51,236.9,0.94,26.19,53.9,1985-05-06
14.97,21.42,28.03,16.56,297.92,0.67,0.72,228.6,0.66,25.6,96.0,1985-06-30
14.44,20.72,26.19,16.49,171.51,0.82,0.85,227.3,0.66,24.71,67.4,1985-07-08
14.79,20.67,27.08,16.22,218.6,0.85,0.87,247.2,0.77,24.24,99.2,1985-08-13
14.86,20.88,26.85,16.46,204.3,0.93,0.92,242.0,0.69,24.04,238.0,1985-09-02
14.89,20.69,26.73,16.43,129.03,0.89,0.89,248.2,0.83,24.18,241.0,1985-10-01
14.74,20.73,26.37,16.95,93.57,0.86,0.87,246.3,0.77,24.4,135.0,1985-11-27
14.16,20.61,25.83,15.59,62.78,0.82,0.84,245.8,0.64,24.5,70.2,1985-12-31
13.18,20.88,27.1,16.39,61.06,0.72,0.74,291.7,0.44,24.86,40.9,1986-01-28
12.25,21.55,28.48,14.34,4.54,0.61,0.56,246.9,0.63,25.88,31.9,1986-02-23
11.9,22.63,31.48,15.95,10.25,0.56,0.44,297.6,0.83,26.83,24.4,1986-03-27
13.46,23.58,31.42,18.61,23.2,0.54,0.43,243.8,0.64,27.2,29.3,1986-04-07
14.92,22.73,31.08,18.08,95.41,0.57,0.56,236.2,0.9,26.65,32.3,1986-05-02
