Dia,Mes,Ano,Caudal_Diario
27,SET,1968,331.55
28,SET,1968,365.16
29,SET,1968,301.37
30,SET,1968,264.23
31,SET,1968,
1,OCT,1968,303.42
2,OCT,1968,384.01
3,OCT,1968,434.81
4,OCT,1968,316.03
5,OCT,1968,338.09
6,OCT,1968,398.1
7,OCT,1968,387.54
8,OCT,1968,490.07
9,OCT,1968,408.93
10,OCT,1968,411.68
11,OCT,1968,371.85
12,OCT,1968,483.77
13,OCT,1968,514.55
14,OCT,1968,418.2
15,OCT,1968,800
16,OCT,1968,720
17,OCT,1968,620
18,OCT,1968,590
19,OCT,1968,700
20,OCT,1968,540
21,OCT,1968,425
22,OCT,1968,370
23,OCT,1968,315
24,OCT,1968,310
25,OCT,1968,410
26,OCT,1968,420
27,OCT,1968,365
28,OCT,1968,520
29,OCT,1968,580
30,OCT,1968,510
31,OCT,1968,450
1,NOV,1968,450
2,NOV,1968,440
3,NOV,1968,365
4,NOV,1968,345
5,NOV,1968,300
6,NOV,1968,260
7,NOV,1968,265
8,NOV,1968,410
9,NOV,1968,360
10,NOV,1968,275
11,NOV,1968,240
12,NOV,1968,220
13,NOV,1968,210
14,NOV,1968,195
15,NOV,1968,185
16,NOV,1968,180
17,NOV,1968,220
18,NOV,1968,210
19,NOV,1968,205
20,NOV,1968,205
21,NOV,1968,200
22,NOV,1968,195
23,NOV,1968,300
24,NOV,1968,365
25,NOV,1968,390
26,NOV,1968,350
27,NOV,1968,370
28,NOV,1968,360
29,NOV,1968,315
30,NOV,1968,275
31,NOV,1968,
1,DIC,1968,280
2,DIC,1968,260
3,DIC,1968,220
4,DIC,1968,225
5,DIC,1968,230
6,DIC,1968,195
7,DIC,1968,175
8,DIC,1968,160
9,DIC,1968,150
10,DIC,1968,130
11,DIC,1968,140.88
12,DIC,1968,134.66
13,DIC,1968,125.84
14,DIC,1968,121.08
15,DIC,1968,115.38
16,DIC,1968,113.56
17,DIC,1968,113.56
18,DIC,1968,108.1
19,DIC,1968,100.82
20,DIC,1968,97.3
21,DIC,1968,93.9
22,DIC,1968,92.2
23,DIC,1968,103.48
24,DIC,1968,103
25,DIC,1968,85.4
26,DIC,1968,80.46
