YEAR,MES,DIA,caudal_minimo
1968,SEP,30,264.23
1968,OCT,1,303.42
1968,NOV,16,180.0
1968,DEC,31,68.14
1969,JAN,31,42.98
1969,FEB,28,28.58
1969,MAR,25,22.0
1969,APR,8,22.0
1969,MAY,8,52.1
1969,JUN,22,116.0
1969,JUL,21,87.0
1969,AUG,2,116.0
1969,SEP,14,146.0
1969,OCT,29,307.0
1969,NOV,4,249.0
1969,DEC,30,109.0
1970,JAN,5,63.5
1970,FEB,28,45.3
1970,MAR,22,34.1
1970,APR,5,47.7
1970,MAY,1,84.6
1970,JUN,9,147.0
1970,JUL,7,191.0
1970,AUG,14,204.0
1970,SEP,12,354.0
1970,OCT,19,343.0
1970,NOV,29,169.0
1970,DEC,31,107.0
1971,JAN,31,63.2
1971,FEB,21,42.0
1971,MAR,13,35.8
1971,APR,13,43.5
1971,MAY,1,68.3
1971,JUN,27,159.0
1971,JUL,27,115.0
1971,AUG,1,161.0
1971,SEP,1,261.0
1971,OCT,6,340.0
1971,NOV,30,139.0
1971,DEC,31,56.2
1972,JAN,31,49.2
1972,FEB,29,27.5
1972,MAR,27,23.4
1972,APR,4,22.0
1972,MAY,7,77.0
1972,JUN,30,103.0
1972,JUL,18,64.3
1972,AUG,8,56.7
1972,SEP,13,120.0
1972,OCT,30,180.0
1972,NOV,30,105.0
1972,DEC,16,60.0
1973,JAN,31,39.2
1973,FEB,27,26.5
1973,MAR,28,20.6
1973,APR,5,19.3
1973,MAY,4,35.8
1973,JUN,10,151.0
1973,JUL,14,114.0
1973,AUG,15,128.0
1973,SEP,23,252.0
1973,OCT,1,288.0
1973,NOV,14,133.0
1973,DEC,28,72.2
1974,JAN,28,50.0
1974,FEB,25,29.8
1974,MAR,22,28.9
1974,APR,20,27.6
1974,MAY,2,43.6
1974,JUN,8,156.0
1974,JUL,10,129.0
1974,AUG,9,121.0
1974,SEP,7,237.0
1974,OCT,16,340.0
1974,NOV,30,127.0
1974,DEC,12,17.8
1975,JAN,29,34.1
1975,FEB,24,25.9
1975,MAR,27,23.2
1975,APR,24,18.9
1975,MAY,1,35.3
1975,JUN,14,131.0
1975,JUL,1,144.0
1975,AUG,13,151.0
1975,SEP,18,320.0
1975,OCT,11,386.0
1975,NOV,29,241.0
1975,DEC,30,81.0
1976,JAN,6,6.8
1976,FEB,29,26.3
1976,MAR,23,20.5
1976,APR,6,18.6
1976,JUN,16,106.0
1976,JUL,31,59.9
1976,AUG,20,55.1
1976,SEP,13,69.4
1976,OCT,29,190.0
1976,NOV,28,119.0
1976,DEC,31,39.5
1977,JAN,31,25.3
1977,FEB,28,18.8
1977,MAR,29,14.2
1977,APR,25,13.1
1977,MAY,6,21.5
