-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  9.0922   Longitude -83.2783 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 899.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,20.64,21.6,22.51,22.68,22.18,21.41,21.18,20.96,21.04,20.86,20.81,21.05,21.41
T2M,1982,20.77,21.43,22.23,22.53,22.12,22.09,21.54,21.67,21.5,20.65,21.46,21.57,21.63
T2M,1983,22.36,23.48,23.81,23.92,23.07,22.37,22.39,21.98,21.41,20.86,21.13,20.9,22.3
T2M,1984,20.86,21.74,22.78,22.92,22.27,21.14,20.87,21.03,20.66,20.83,20.46,21.07,21.38
T2M,1985,20.42,21.97,22.89,23.36,22.59,21.42,20.72,20.67,20.88,20.69,20.73,20.61,21.41
T2M,1986,20.88,21.55,22.63,23.58,22.73,21.65,21.22,21.27,21.19,20.78,21.05,21.14,21.64
T2M,1987,21.27,22.69,23.47,22.9,22.23,22.07,21.64,21.15,21.44,21.21,21.62,21.69,21.94
T2M,1988,21.75,22.78,23.27,23.46,23.02,21.44,20.85,20.65,20.69,20.72,20.74,20.66,21.66
T2M,1989,21.35,21.98,22.5,23.98,22.65,21.59,21.15,21.14,20.8,21.01,21.23,20.58,21.66
T2M,1990,21.69,22.11,23.2,23.7,22.46,21.92,21.26,21.52,21.08,20.79,21.01,21.27,21.83
T2M,1991,21.05,21.91,23.28,23.7,22.61,22.3,21.79,21.45,21.32,20.96,21.07,21.15,21.88
T2M,1992,21.88,22.74,23.77,24.05,23.23,22.65,21.18,21.35,21.11,20.98,21.09,21.12,22.09
T2M,1993,21.54,22.22,23.2,23.64,22.22,21.99,21.52,21.48,20.93,21.29,21.06,21.31,21.86
T2M,1994,21.49,22.75,23.22,23.59,22.81,21.96,21.69,21.35,21.5,20.88,21.01,21.28,21.95
T2M,1995,21.59,22.83,23.24,22.92,21.93,21.61,21.2,21.22,21.09,20.88,21.13,20.81,21.7
T2M,1996,20.89,22.27,23.29,23.52,22.45,21.59,21.17,20.93,21.19,20.94,20.59,20.98,21.65
T2M,1997,20.37,22.22,22.97,23.54,22.66,21.86,22.46,22.45,21.77,21.8,21.62,21.65,22.11
T2M,1998,22.03,24.0,24.93,24.98,23.64,22.41,21.74,21.58,21.48,21.25,21.1,20.96,22.5
T2M,1999,20.78,21.05,22.21,22.63,21.54,21.11,21.09,20.87,20.58,20.41,20.53,20.53,21.11
T2M,2000,20.48,21.08,22.36,22.73,22.26,21.5,21.1,21.3,20.94,21.11,21.03,21.12,21.42
T2M,2001,20.69,21.8,22.92,23.29,22.57,21.89,21.51,21.91,21.1,21.26,20.98,21.51,21.79
T2M,2002,21.39,22.04,23.39,23.44,22.97,21.92,21.72,21.8,21.54,21.3,21.62,21.51,22.05
T2M,2003,21.83,22.57,23.06,22.97,22.25,21.58,21.68,21.8,21.79,21.4,21.18,21.27,21.94
T2M,2004,21.29,22.13,23.12,23.66,22.45,22.04,21.44,21.95,21.51,21.42,21.22,21.3,21.96
T2M,2005,21.34,21.43,22.86,23.2,22.47,22.18,22.13,21.76,21.5,20.84,20.99,20.81,21.79
T2M,2006,21.22,21.26,22.52,22.6,22.29,21.77,21.85,21.93,21.81,21.72,21.1,21.56,21.81
T2M,2007,21.78,22.13,23.32,22.89,22.18,21.77,21.51,21.33,21.41,20.82,21.03,20.8,21.74
T2M,2008,20.63,21.13,22.22,22.68,22.11,21.75,21.29,21.37,21.49,21.21,21.29,20.93,21.51
T2M,2009,21.18,21.68,22.16,23.44,22.53,22.17,22.22,22.03,22.31,21.77,21.53,21.73,22.06
T2M,2010,21.85,22.86,23.38,23.69,22.8,21.94,21.62,21.49,21.14,21.17,20.49,20.37,21.89
T2M,2011,20.98,21.73,22.14,22.64,22.94,22.21,21.69,21.85,21.73,20.78,20.9,20.88,21.7
T2M,2012,20.91,21.46,22.93,22.47,22.39,22.3,22.07,21.81,21.73,21.31,21.52,21.51,21.87
T2M,2013,21.76,22.17,23.19,23.2,22.22,22.12,21.58,21.6,21.75,21.45,21.25,21.31,21.96
T2M,2014,21.44,22.05,23.1,23.4,22.68,22.6,22.47,21.77,21.7,21.57,21.44,21.49,22.14
T2M,2015,21.48,21.89,22.47,23.43,22.98,22.81,22.27,22.52,22.42,22.27,22.03,22.75,22.45
T2M,2016,22.15,22.58,24.16,24.09,23.26,22.32,21.91,22.18,21.95,21.6,21.16,21.12,22.37
T2M,2017,21.31,21.94,22.81,23.37,22.48,22.17,22.19,22.14,22.03,21.77,21.45,21.32,22.08
T2M,2018,20.95,21.28,22.31,22.41,22.26,22.0,22.0,21.98,21.99,21.24,21.91,21.58,21.83
T2M,2019,21.79,22.9,23.32,23.5,22.52,22.88,22.32,22.43,22.09,21.66,21.7,21.95,22.42
T2M,2020,22.0,22.36,23.04,23.35,23.09,22.16,21.76,21.99,21.85,21.79,21.27,21.23,22.16
T2M,2021,21.19,22.08,22.45,22.67,22.3,22.06,22.12,21.69,21.81,21.85,21.21,21.56,21.91
T2M,2022,21.34,21.93,23.04,22.64,22.33,21.28,21.82,21.73,21.76,21.53,21.22,21.32,21.83
T2M,2023,21.41,22.03,22.33,23.19,23.87,22.96,22.78,22.92,23.0,22.36,22.3,22.62,22.65
T2M,2024,22.88,22.97,24.28,23.79,23.56,22.66,22.62,22.62,22.74,22.24,21.48,21.64,22.79
T2M,2025,21.7,22.1,22.96,22.97,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
T2M_MAX,1981,26.13,27.53,29.48,29.71,28.42,27.48,26.58,26.48,27.33,26.75,26.22,26.66,29.71
T2M_MAX,1982,26.33,27.44,30.51,30.15,29.61,28.03,27.14,26.51,27.73,26.48,27.31,27.08,30.51
T2M_MAX,1983,28.9,31.98,32.02,33.07,29.97,28.47,28.56,27.98,27.33,26.67,26.21,25.94,33.07
T2M_MAX,1984,26.65,28.59,31.13,30.38,29.43,26.82,26.39,26.75,26.62,26.67,25.54,25.87,31.13
T2M_MAX,1985,26.6,29.26,30.97,31.39,30.99,28.03,26.19,27.08,26.85,26.73,26.37,25.83,31.39
T2M_MAX,1986,27.1,28.48,31.48,31.42,31.08,28.3,26.87,27.04,27.18,25.95,26.51,26.29,31.48
T2M_MAX,1987,27.3,30.3,31.47,30.78,28.7,27.83,27.52,26.93,27.04,26.87,26.84,27.27,31.47
T2M_MAX,1988,27.81,30.19,31.62,31.24,31.07,28.04,26.34,24.41,25.63,25.82,25.57,26.02,31.62
T2M_MAX,1989,26.96,30.79,30.98,31.55,30.88,28.72,27.19,27.27,25.75,26.85,26.56,25.55,31.55
T2M_MAX,1990,27.82,29.95,31.31,31.46,29.65,28.34,26.74,27.58,26.68,25.58,26.57,26.42,31.46
T2M_MAX,1991,26.78,29.98,31.14,31.92,29.54,29.89,28.23,27.57,27.5,26.42,26.55,26.28,31.92
