-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  9.0922   Longitude -83.2783 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 899.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD2M     MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WD2M,1981,280.8,263.8,244.9,232.9,237.9,236.9,243.6,246.2,240.0,244.9,247.5,247.1,244.5
WD2M,1982,280.7,260.4,275.4,244.4,232.7,238.7,241.6,233.2,242.8,228.8,254.1,297.4,244.4
WD2M,1983,296.7,257.7,251.3,234.3,239.3,238.7,237.5,233.6,234.4,225.3,232.7,240.8,239.9
WD2M,1984,262.4,247.5,229.0,232.4,239.7,240.7,239.6,238.4,246.0,240.1,240.9,281.7,241.4
WD2M,1985,303.7,325.3,307.8,239.4,236.9,228.6,227.3,247.2,242.0,248.2,246.3,245.8,246.2
WD2M,1986,291.7,246.9,297.6,243.8,236.2,239.2,246.1,248.4,238.1,234.8,231.0,247.5,243.2
WD2M,1987,344.8,277.2,237.0,250.4,218.3,240.3,232.8,250.7,241.5,241.2,231.1,242.3,242.2
WD2M,1988,309.0,270.7,234.2,236.9,230.6,247.5,249.4,246.6,247.9,245.4,244.1,254.3,245.9
WD2M,1989,290.0,6.0,256.1,242.3,233.9,231.1,237.2,239.7,245.4,238.4,230.0,236.3,242.0
WD2M,1990,266.6,284.9,290.5,234.5,239.6,231.0,235.2,242.4,237.5,238.9,231.2,233.3,240.3
WD2M,1991,245.5,324.6,242.9,234.0,247.6,234.4,231.8,236.4,246.8,247.9,241.1,264.8,243.8
