caudal_minimo,fecha,humedad_lag_1,humedad_lag_2,humedad_lag_3,humedad_lag_4,humedad_lag_5,humedad_lag_6,temp_lag_1,temp_lag_2,temp_lag_3,temp_lag_4,temp_lag_5,temp_lag_6,temp_max_lag_1,temp_max_lag_2,temp_max_lag_3,temp_max_lag_4,temp_max_lag_5,temp_max_lag_6,temp_min_lag_1,temp_min_lag_2,temp_min_lag_3,temp_min_lag_4,temp_min_lag_5,temp_min_lag_6,prep_lag_1,prep_lag_2,prep_lag_3,prep_lag_4,prep_lag_5,prep_lag_6,soil_perfil_lag_1,soil_perfil_lag_2,soil_perfil_lag_3,soil_perfil_lag_4,soil_perfil_lag_5,soil_perfil_lag_6,soil_superf_lag_1,soil_superf_lag_2,soil_superf_lag_3,soil_superf_lag_4,soil_superf_lag_5,soil_superf_lag_6,dir_viento_lag_1,dir_viento_lag_2,dir_viento_lag_3,dir_viento_lag_4,dir_viento_lag_5,dir_viento_lag_6,vel_viento_lag_1,vel_viento_lag_2,vel_viento_lag_3,vel_viento_lag_4,vel_viento_lag_5,vel_viento_lag_6,nino_lag_1,nino_lag_2,nino_lag_3,nino_lag_4,nino_lag_5,nino_lag_6,caudal_minimo_lag_1,caudal_minimo_lag_2,caudal_minimo_lag_3,caudal_minimo_lag_4,caudal_minimo_lag_5,caudal_minimo_lag_6,caudal_minimo_lag_12
28.4,1981-07-27,83.52,75.61,66.07,63.49,67.86,77.24,26.47,28.12,28.84,28.64,27.11,24.89,30.98,35.12,36.48,36.72,34.22,31.82,23.16,24.05,23.38,21.64,21.82,19.82,300.12,159.04,89.69,7.98,0.72,7.81,0.7,0.58,0.47,0.46,0.49,0.63,0.72,0.59,0.37,0.28,0.42,0.61,1.5,12.8,59.1,60.2,56.3,48.3,1.94,2.12,4.27,3.32,4.2,4.1,26.19,26.71,27.06,26.61,25.52,24.95,39.2,12.5,6.46,7.41,10.6,14.1,17.2
28.0,1981-08-01,78.8,83.52,75.61,66.07,63.49,67.86,26.84,26.47,28.12,28.84,28.64,27.11,31.76,30.98,35.12,36.48,36.72,34.22,22.98,23.16,24.05,23.38,21.64,21.82,112.16,300.12,159.04,89.69,7.98,0.72,0.68,0.7,0.58,0.47,0.46,0.49,0.67,0.72,0.59,0.37,0.28,0.42,66.9,1.5,12.8,59.1,60.2,56.3,2.04,1.94,2.12,4.27,3.32,4.2,25.21,26.19,26.71,27.06,26.61,25.52,28.4,39.2,12.5,6.46,7.41,10.6,16.2
31.8,1981-09-27,83.75,78.8,83.52,75.61,66.07,63.49,26.02,26.84,26.47,28.12,28.84,28.64,32.42,31.76,30.98,35.12,36.48,36.72,23.03,22.98,23.16,24.05,23.38,21.64,359.6,112.16,300.12,159.04,89.69,7.98,0.74,0.68,0.7,0.58,0.47,0.46,0.77,0.67,0.72,0.59,0.37,0.28,358.2,66.9,1.5,12.8,59.1,60.2,2.07,2.04,1.94,2.12,4.27,3.32,24.38,25.21,26.19,26.71,27.06,26.61,28.0,28.4,39.2,12.5,6.46,7.41,17.1
27.7,1981-10-08,84.21,83.75,78.8,83.52,75.61,66.07,26.16,26.02,26.84,26.47,28.12,28.84,30.62,32.42,31.76,30.98,35.12,36.48,22.07,23.03,22.98,23.16,24.05,23.38,258.1,359.6,112.16,300.12,159.04,89.69,0.81,0.74,0.68,0.7,0.58,0.47,0.85,0.77,0.67,0.72,0.59,0.37,72.4,358.2,66.9,1.5,12.8,59.1,1.71,2.07,2.04,1.94,2.12,4.27,24.67,24.38,25.21,26.19,26.71,27.06,31.8,28.0,28.4,39.2,12.5,6.46,37.5
18.5,1981-12-30,86.8,85.77,84.21,83.75,78.8,83.52,25.38,25.88,26.16,26.02,26.84,26.47,29.83,30.11,30.62,32.42,31.76,30.98,22.17,22.9,22.07,23.03,22.98,23.16,62.42,361.33,258.1,359.6,112.16,300.12,0.85,0.88,0.81,0.74,0.68,0.7,0.86,0.9,0.85,0.77,0.67,0.72,37.4,12.1,72.4,358.2,66.9,1.5,2.68,1.61,1.71,2.07,2.04,1.94,24.7,24.8,24.67,24.38,25.21,26.19,25.5,27.7,31.8,28.0,28.4,39.2,21.1
15.2,1982-01-31,81.91,86.8,85.77,84.21,83.75,78.8,25.82,25.38,25.88,26.16,26.02,26.84,31.78,29.83,30.11,30.62,32.42,31.76,21.36,22.17,22.9,22.07,23.03,22.98,48.48,62.42,361.33,258.1,359.6,112.16,0.68,0.85,0.88,0.81,0.74,0.68,0.69,0.86,0.9,0.85,0.77,0.67,51.0,37.4,12.1,72.4,358.2,66.9,2.99,2.68,1.61,1.71,2.07,2.04,25.17,24.7,24.8,24.67,24.38,25.21,18.5,25.5,27.7,31.8,28.0,28.4,14.1
11.6,1982-02-28,71.96,81.91,86.8,85.77,84.21,83.75,26.62,25.82,25.38,25.88,26.16,26.02,33.2,31.78,29.83,30.11,30.62,32.42,21.4,21.36,22.17,22.9,22.07,23.03,7.33,48.48,62.42,361.33,258.1,359.6,0.53,0.68,0.85,0.88,0.81,0.74,0.49,0.69,0.86,0.9,0.85,0.77,58.6,51.0,37.4,12.1,72.4,358.2,3.88,2.99,2.68,1.61,1.71,2.07,25.86,25.17,24.7,24.8,24.67,24.38,15.2,18.5,25.5,27.7,31.8,28.0,10.6
8.99,1982-03-31,63.38,71.96,81.91,86.8,85.77,84.21,28.14,26.62,25.82,25.38,25.88,26.16,35.7,33.2,31.78,29.83,30.11,30.62,21.8,21.4,21.36,22.17,22.9,22.07,4.28,7.33,48.48,62.42,361.33,258.1,0.47,0.53,0.68,0.85,0.88,0.81,0.31,0.49,0.69,0.86,0.9,0.85,61.8,58.6,51.0,37.4,12.1,72.4,3.9,3.88,2.99,2.68,1.61,1.71,26.4,25.86,25.17,24.7,24.8,24.67,11.6,15.2,18.5,25.5,27.7,31.8,7.41
8.2,1982-04-29,58.31,63.38,71.96,81.91,86.8,85.77,28.78,28.14,26.62,25.82,25.38,25.88,37.3,35.7,33.2,31.78,29.83,30.11,22.05,21.8,21.4,21.36,22.17,22.9,18.14,4.28,7.33,48.48,62.42,361.33,0.46,0.47,0.53,0.68,0.85,0.88,0.22,0.31,0.49,0.69,0.86,0.9,62.0,61.8,58.6,51.0,37.4,12.1,3.67,3.9,3.88,2.99,2.68,1.61,27.11,26.4,25.86,25.17,24.7,24.8,8.99,11.6,15.2,18.5,25.5,27.7,6.46
8.54,1983-03-01,59.53,64.32,67.6,73.1,80.24,77.87,29.26,28.42,27.71,27.41,26.22,27.17,37.93,36.96,34.79,33.47,31.97,35.09,21.92,21.98,21.76,22.34,21.86,23.29,9.68,5.36,5.64,44.95,110.41,199.44,0.46,0.46,0.49,0.58,0.64,0.57,0.23,0.27,0.38,0.56,0.65,0.59,50.3,49.6,53.6,56.4,57.5,66.9,3.63,4.56,4.44,3.28,2.44,2.33,28.71,28.66,28.08,27.5,27.28,26.79,12.2,22.6,13.6,36.0,231.0,178.0,8.99
7.4,1983-04-01,59.13,59.53,64.32,67.6,73.1,80.24,30.03,29.26,28.42,27.71,27.41,26.22,38.25,37.93,36.96,34.79,33.47,31.97,23.28,21.92,21.98,21.76,22.34,21.86,6.55,9.68,5.36,5.64,44.95,110.41,0.46,0.46,0.46,0.49,0.58,0.64,0.23,0.23,0.27,0.38,0.56,0.65,47.0,50.3,49.6,53.6,56.4,57.5,3.2,3.63,4.56,4.44,3.28,2.44,28.89,28.71,28.66,28.08,27.5,27.28,8.54,12.2,22.6,13.6,36.0,231.0,8.2
