humedad,temp,temp_max,temp_min,prep,soil_perfil,soil_superf,dir_viento,vel_viento,nino,caudal_minimo,fecha
,,,,,,,,,23.56,,1950-01-01
,,,,,,,,,24.89,,1950-02-01
,,,,,,,,,26.36,,1950-03-01
,,,,,,,,,26.44,,1950-04-01
,,,,,,,,,25.69,,1950-05-01
,,,,,,,,,25.51,,1950-06-01
,,,,,,,,,24.91,,1950-07-01
,,,,,,,,,24.47,,1950-08-01
,,,,,,,,,24.01,,1950-09-01
,,,,,,,,,24.17,,1950-10-01
,,,,,,,,,23.86,,1950-11-01
,,,,,,,,,24.15,,1950-12-01
,,,,,,,,,24.79,,1951-01-01
,,,,,,,,,25.65,,1951-02-01
,,,,,,,,,26.87,,1951-03-01
,,,,,,,,,27.37,,1951-04-01
,,,,,,,,,27.07,,1951-05-01
,,,,,,,,,26.66,,1951-06-01
,,,,,,,,,26.42,,1951-07-01
,,,,,,,,,25.52,13.9,1951-08-14
,,,,,,,,,25.36,18.4,1951-09-17
,,,,,,,,,25.58,21.8,1951-10-31
,,,,,,,,,25.91,15.9,1951-11-30
,,,,,,,,,25.84,17.6,1951-12-15
,,,,,,,,,25.8,16.4,1952-01-31
,,,,,,,,,26.37,10.2,1952-02-24
,,,,,,,,,27.05,8.2,1952-03-24
,,,,,,,,,27.27,7.1,1952-04-18
,,,,,,,,,26.64,6.8,1952-05-05
,,,,,,,,,25.7,9.1,1952-06-03
,,,,,,,,,24.82,11.0,1952-07-03
,,,,,,,,,24.44,14.4,1952-08-04
,,,,,,,,,24.26,13.6,1952-09-01
,,,,,,,,,24.36,28.0,1952-10-24
,,,,,,,,,24.07,22.7,1952-11-29
,,,,,,,,,24.67,21.0,1952-12-21
,,,,,,,,,25.72,17.3,1953-01-31
,,,,,,,,,26.63,11.6,1953-02-27
,,,,,,,,,27.52,9.9,1953-03-27
,,,,,,,,,27.72,10.2,1953-04-14
,,,,,,,,,27.37,11.0,1953-05-02
,,,,,,,,,26.88,22.7,1953-06-21
,,,,,,,,,25.74,19.5,1953-07-19
,,,,,,,,,25.06,19.4,1953-08-31
,,,,,,,,,25.19,17.1,1953-09-06
,,,,,,,,,25.1,22.6,1953-10-29
,,,,,,,,,25.15,16.4,1953-11-23
,,,,,,,,,25.43,17.2,1953-12-01
,,,,,,,,,25.5,21.38,1954-01-20
,,,,,,,,,26.27,16.38,1954-02-28
,,,,,,,,,26.56,10.8,1954-03-23
,,,,,,,,,25.61,9.8,1954-04-06
,,,,,,,,,25.62,7.2,1954-05-18
,,,,,,,,,25.04,21.5,1954-06-01
,,,,,,,,,24.35,26.15,1954-07-19
,,,,,,,,,23.56,20.63,1954-08-16
,,,,,,,,,23.17,26.9,1954-09-04
,,,,,,,,,23.32,20.88,1954-10-06
,,,,,,,,,23.64,20.0,1954-11-16
,,,,,,,,,23.68,22.5,1954-12-30
,,,,,,,,,24.8,17.15,1955-01-31
,,,,,,,,,25.7,15.4,1955-02-28
,,,,,,,,,26.3,12.5,1955-03-31
,,,,,,,,,26.27,11.0,1955-04-22
,,,,,,,,,25.43,9.4,1955-05-26
,,,,,,,,,24.93,12.88,1955-06-28
,,,,,,,,,24.4,,1955-07-01
,,,,,,,,,23.66,,1955-08-01
,,,,,,,,,23.22,,1955-09-01
,,,,,,,,,22.58,,1955-10-01
,,,,,,,,,22.71,,1955-11-01
,,,,,,,,,23.14,,1955-12-01
,,,,,,,,,24.6,17.0,1956-01-22
,,,,,,,,,25.7,16.9,1956-02-26
,,,,,,,,,26.67,16.5,1956-03-27
,,,,,,,,,26.92,12.3,1956-04-26
,,,,,,,,,26.49,12.1,1956-05-01
