DIA,MES,YEAR,caudal_minimo,fecha
14,AUG,1951,13.9,1951-08-14
17,SEP,1951,18.4,1951-09-17
31,OCT,1951,21.8,1951-10-31
30,NOV,1951,15.9,1951-11-30
15,DEC,1951,17.6,1951-12-15
31,JAN,1952,16.4,1952-01-31
24,FEB,1952,10.2,1952-02-24
24,MAR,1952,8.2,1952-03-24
18,APR,1952,7.1,1952-04-18
5,MAY,1952,6.8,1952-05-05
3,JUN,1952,9.1,1952-06-03
3,JUL,1952,11.0,1952-07-03
4,AUG,1952,14.4,1952-08-04
1,SEP,1952,13.6,1952-09-01
24,OCT,1952,28.0,1952-10-24
29,NOV,1952,22.7,1952-11-29
21,DEC,1952,21.0,1952-12-21
31,JAN,1953,17.3,1953-01-31
27,FEB,1953,11.6,1953-02-27
27,MAR,1953,9.9,1953-03-27
14,APR,1953,10.2,1953-04-14
2,MAY,1953,11.0,1953-05-02
21,JUN,1953,22.7,1953-06-21
19,JUL,1953,19.5,1953-07-19
31,AUG,1953,19.4,1953-08-31
6,SEP,1953,17.1,1953-09-06
29,OCT,1953,22.6,1953-10-29
23,NOV,1953,16.4,1953-11-23
1,DEC,1953,17.2,1953-12-01
20,JAN,1954,21.38,1954-01-20
28,FEB,1954,16.38,1954-02-28
23,MAR,1954,10.8,1954-03-23
6,APR,1954,9.8,1954-04-06
18,MAY,1954,7.2,1954-05-18
1,JUN,1954,21.5,1954-06-01
19,JUL,1954,26.15,1954-07-19
16,AUG,1954,20.63,1954-08-16
4,SEP,1954,26.9,1954-09-04
6,OCT,1954,20.88,1954-10-06
16,NOV,1954,20.0,1954-11-16
30,DEC,1954,22.5,1954-12-30
31,JAN,1955,17.15,1955-01-31
28,FEB,1955,15.4,1955-02-28
31,MAR,1955,12.5,1955-03-31
22,APR,1955,11.0,1955-04-22
26,MAY,1955,9.4,1955-05-26
28,JUN,1955,12.88,1955-06-28
1,JUL,1955,,1955-07-01
1,AUG,1955,,1955-08-01
1,SEP,1955,,1955-09-01
1,OCT,1955,,1955-10-01
1,NOV,1955,,1955-11-01
1,DEC,1955,,1955-12-01
22,JAN,1956,17.0,1956-01-22
26,FEB,1956,16.9,1956-02-26
27,MAR,1956,16.5,1956-03-27
26,APR,1956,12.3,1956-04-26
1,MAY,1956,12.1,1956-05-01
2,JUN,1956,16.6,1956-06-02
23,JUL,1956,19.0,1956-07-23
8,AUG,1956,18.0,1956-08-08
19,SEP,1956,11.0,1956-09-19
20,OCT,1956,27.45,1956-10-20
30,NOV,1956,21.3,1956-11-30
4,DEC,1956,20.5,1956-12-04
31,JAN,1957,19.5,1957-01-31
26,FEB,1957,14.0,1957-02-26
30,MAR,1957,11.5,1957-03-30
28,APR,1957,10.9,1957-04-28
6,MAY,1957,10.2,1957-05-06
18,JUN,1957,15.0,1957-06-18
2,JUL,1957,15.0,1957-07-02
29,AUG,1957,16.0,1957-08-29
2,SEP,1957,15.8,1957-09-02
8,OCT,1957,18.3,1957-10-08
20,NOV,1957,15.6,1957-11-20
31,DEC,1957,17.0,1957-12-31
31,JAN,1958,10.6,1958-01-31
17,FEB,1958,8.8,1958-02-17
23,MAR,1958,7.9,1958-03-23
14,APR,1958,7.4,1958-04-14
2,MAY,1958,7.9,1958-05-02
24,JUN,1958,15.3,1958-06-24
12,JUL,1958,13.1,1958-07-12
30,AUG,1958,14.0,1958-08-30
11,SEP,1958,12.9,1958-09-11
8,OCT,1958,12.3,1958-10-08
29,NOV,1958,13.3,1958-11-29
15,DEC,1958,14.0,1958-12-15
27,JAN,1959,13.12,1959-01-27
28,FEB,1959,8.8,1959-02-28
22,MAR,1959,7.6,1959-03-22
4,APR,1959,7.4,1959-04-04
23,MAY,1959,7.3,1959-05-23
2,JUN,1959,8.3,1959-06-02
17,JUL,1959,11.87,1959-07-17
4,AUG,1959,13.12,1959-08-04
1,SEP,1959,12.25,1959-09-01
2,OCT,1959,17.45,1959-10-02
26,NOV,1959,12.0,1959-11-26
22,DEC,1959,12.15,1959-12-22
29,JAN,1960,14.09,1960-01-29
29,FEB,1960,10.41,1960-02-29
16,MAR,1960,8.23,1960-03-16
6,APR,1960,8.23,1960-04-06
10,MAY,1960,8.57,1960-05-10
19,JUN,1960,9.26,1960-06-19
19,JUL,1960,11.56,1960-07-19
3,AUG,1960,13.86,1960-08-03
19,SEP,1960,17.43,1960-09-19
4,OCT,1960,11.68,1960-10-04
1,NOV,1960,,1960-11-01
15,DEC,1960,30.08,1960-12-15
31,JAN,1961,20.1,1961-01-31
15,FEB,1961,15.13,1961-02-15
31,MAR,1961,10.07,1961-03-31
30,APR,1961,8.69,1961-04-30
20,MAY,1961,8.61,1961-05-20
1,JUN,1961,9.2,1961-06-01
18,JUL,1961,9.05,1961-07-18
30,AUG,1961,13.12,1961-08-30
14,SEP,1961,13.01,1961-09-14
10,OCT,1961,19.24,1961-10-10
24,NOV,1961,20.67,1961-11-24
5,DEC,1961,16.72,1961-12-05
3,JAN,1962,15.67,1962-01-03
26,FEB,1962,11.26,1962-02-26
16,MAR,1962,9.32,1962-03-16
20,APR,1962,8.76,1962-04-20
8,MAY,1962,8.82,1962-05-08
2,JUN,1962,9.7,1962-06-02
1,JUL,1962,18.3,1962-07-01
15,AUG,1962,16.48,1962-08-15
14,SEP,1962,17.32,1962-09-14
3,OCT,1962,28.5,1962-10-03
11,NOV,1962,17.18,1962-11-11
27,DEC,1962,15.5,1962-12-27
21,JAN,1963,13.1,1963-01-21
25,FEB,1963,10.6,1963-02-25
31,MAR,1963,8.91,1963-03-31
1,APR,1963,8.91,1963-04-01
15,MAY,1963,8.14,1963-05-15
3,JUN,1963,8.0,1963-06-03
16,JUL,1963,9.52,1963-07-16
30,AUG,1963,9.79,1963-08-30
5,SEP,1963,9.93,1963-09-05
27,OCT,1963,10.88,1963-10-27
3,NOV,1963,15.76,1963-11-03
28,DEC,1963,14.35,1963-12-28
29,JAN,1964,8.0,1964-01-29
15,FEB,1964,7.6,1964-02-15
26,MAR,1964,6.7,1964-03-26
25,APR,1964,6.7,1964-04-25
13,MAY,1964,6.9,1964-05-13
2,JUN,1964,9.3,1964-06-02
31,JUL,1964,15.5,1964-07-31
11,AUG,1964,11.7,1964-08-11
7,SEP,1964,19.5,1964-09-07
2,OCT,1964,37.7,1964-10-02
30,NOV,1964,20.7,1964-11-30
6,DEC,1964,11.6,1964-12-06
31,JAN,1965,11.3,1965-01-31
26,FEB,1965,9.1,1965-02-26
28,MAR,1965,8.0,1965-03-28
26,APR,1965,7.6,1965-04-26
17,MAY,1965,4.4,1965-05-17
8,JUN,1965,5.6,1965-06-08
1,JUL,1965,6.6,1965-07-01
13,AUG,1965,9.18,1965-08-13
14,SEP,1965,10.6,1965-09-14
11,OCT,1965,13.6,1965-10-11
30,NOV,1965,12.8,1965-11-30
17,DEC,1965,11.9,1965-12-17
30,JAN,1966,10.12,1966-01-30
21,FEB,1966,8.5,1966-02-21
