-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  10.565   Longitude -85.5917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 94.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1981,77.24,67.86,63.49,66.07,75.61,83.52,78.8,83.75,84.21,85.77,86.8,81.91,77.98
RH2M,1982,71.96,63.38,58.31,59.0,78.94,83.32,78.85,72.46,77.87,80.24,73.1,67.6,72.14
RH2M,1983,64.32,59.53,59.13,56.72,63.92,75.32,71.14,69.46,76.01,81.36,81.9,75.49,69.57
RH2M,1984,65.67,62.77,59.41,57.13,66.09,76.45,74.08,76.36,81.99,82.2,74.51,67.7,70.38
RH2M,1985,63.34,60.59,57.59,57.82,66.11,69.08,71.67,73.51,73.27,71.7,70.6,65.85,66.8
RH2M,1986,62.4,57.43,58.54,56.05,69.19,80.69,77.89,75.92,81.3,80.46,75.43,70.92,70.59
RH2M,1987,64.02,61.53,57.81,62.54,63.3,64.47,73.58,70.36,69.28,71.67,63.48,63.92,65.54
RH2M,1988,60.89,60.05,57.25,56.81,65.58,75.37,70.84,80.89,86.09,82.54,75.79,66.89,69.93
RH2M,1989,62.1,58.84,55.35,56.27,62.19,69.64,68.53,71.15,82.38,77.26,73.88,67.22,67.1
RH2M,1990,63.21,59.7,58.35,56.05,65.34,73.22,73.13,70.02,73.55,79.6,75.49,67.55,67.98
RH2M,1991,63.51,59.98,56.38,57.65,72.1,75.58,73.37,70.83,73.18,80.71,70.55,64.64,68.26
RH2M,1992,61.09,60.5,55.71,57.23,68.22,79.08,79.2,76.21,81.18,80.82,75.12,66.66,70.1
RH2M,1993,62.06,57.69,58.1,58.57,77.87,84.2,77.44,76.06,78.36,75.88,65.42,62.18,69.56
RH2M,1994,59.27,57.35,54.89,56.22,64.28,67.43,66.11,70.51,73.52,76.71,74.41,62.3,65.29
RH2M,1995,60.36,57.74,56.69,60.26,72.93,81.51,78.58,85.92,86.6,88.93,82.99,72.92,73.87
RH2M,1996,63.67,59.47,55.37,56.43,73.22,75.93,76.49,73.12,77.74,80.77,75.85,65.9,69.53
RH2M,1997,62.58,62.19,56.06,57.39,61.91,77.01,69.99,70.55,77.01,81.94,80.52,68.55,68.82
RH2M,1998,60.74,59.64,55.85,54.82,64.29,73.09,76.02,81.73,87.01,89.62,85.85,77.4,72.24
RH2M,1999,68.45,64.08,59.41,61.65,74.24,78.68,77.88,82.9,88.18,90.14,82.76,73.09,75.18
RH2M,2000,66.95,63.2,57.91,58.98,71.93,79.06,75.05,76.07,86.25,84.35,77.92,68.95,72.23
RH2M,2001,64.0,60.48,56.58,58.23,67.81,78.36,72.39,77.93,84.16,86.19,85.02,73.23,72.08
RH2M,2002,64.84,62.07,57.7,56.43,72.01,83.4,79.9,76.8,87.39,87.76,84.99,75.69,74.14
RH2M,2003,67.97,61.99,59.06,58.28,75.15,84.92,78.43,75.63,77.55,81.04,81.78,72.54,72.92
RH2M,2004,64.62,60.52,59.34,57.79,69.81,75.22,74.43,75.17,84.61,87.14,84.18,74.1,72.27
RH2M,2005,65.43,60.47,60.37,60.13,74.52,88.09,85.13,86.05,87.58,90.84,86.93,81.8,77.38
RH2M,2006,72.79,65.84,60.17,57.27,69.8,83.34,84.6,82.18,80.5,82.46,83.39,74.86,74.83
RH2M,2007,65.01,59.28,57.89,65.03,78.03,84.42,82.88,86.99,87.03,89.57,87.31,81.93,77.22
RH2M,2008,71.27,65.2,58.34,61.99,70.66,85.34,86.29,86.97,88.12,89.43,85.9,83.12,77.76
RH2M,2009,73.34,64.51,60.25,57.93,69.69,83.27,81.22,75.7,75.19,83.08,79.77,67.99,72.71
RH2M,2010,63.09,61.59,58.41,62.79,77.02,85.96,86.93,86.64,89.26,85.67,86.04,78.14,76.87
RH2M,2011,70.76,64.73,58.71,57.49,71.56,82.82,86.72,84.58,85.1,88.48,85.77,82.03,76.65
RH2M,2012,71.9,64.88,59.75,62.33,71.17,82.14,78.43,78.52,82.4,85.71,78.76,70.53,73.9
RH2M,2013,64.6,60.04,60.09,59.17,73.24,85.98,86.0,84.54,87.54,86.5,86.47,82.48,76.48
RH2M,2014,71.43,62.74,57.47,59.54,69.64,78.47,71.44,71.1,83.68,87.5,85.96,83.62,73.6
RH2M,2015,73.37,65.49,59.49,59.59,64.92,75.96,73.35,70.34,79.35,84.19,85.1,77.98,72.46
RH2M,2016,65.67,61.93,57.26,62.77,72.31,85.16,84.36,84.52,85.07,87.31,86.91,86.73,76.71
RH2M,2017,78.12,65.8,59.57,65.91,84.16,86.7,86.7,84.8,87.17,88.13,85.2,81.89,79.61
RH2M,2018,74.52,65.37,60.16,63.02,74.45,85.08,84.33,82.43,81.62,87.09,84.14,74.1,76.43
RH2M,2019,64.67,59.62,58.65,58.3,78.61,84.88,81.8,79.11,83.08,87.63,85.54,82.28,75.45
RH2M,2020,70.72,63.33,58.25,62.51,72.92,86.36,85.0,86.55,85.56,88.09,88.96,86.02,77.9
RH2M,2021,77.4,64.07,58.93,69.84,77.7,82.02,84.44,84.91,85.43,85.86,85.45,77.14,77.85
RH2M,2022,64.94,59.72,63.2,65.67,80.32,86.98,86.2,84.21,86.48,87.0,88.16,84.42,78.22
RH2M,2023,74.6,64.36,65.66,59.47,65.96,82.11,79.15,77.02,74.03,86.4,86.37,81.22,74.77
RH2M,2024,70.56,62.74,59.23,60.83,74.8,88.39,87.59,84.59,86.57,87.33,89.97,86.61,78.32
RH2M,2025,80.52,68.85,60.86,64.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
