-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  10.565   Longitude -85.5917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 94.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,7.81,0.72,7.98,89.69,159.04,300.12,112.16,359.6,258.1,361.33,62.42,48.48,1767.45
PRECTOTCORR_SUM,1982,7.33,4.28,18.14,10.52,400.6,85.84,58.39,38.18,199.44,110.41,44.95,5.64,983.72
PRECTOTCORR_SUM,1983,5.36,9.68,6.55,11.17,51.05,132.0,64.92,72.84,172.72,201.4,85.72,31.25,844.66
PRECTOTCORR_SUM,1984,0.6,1.72,2.31,5.74,150.04,114.39,117.59,144.18,243.57,84.53,41.96,3.57,910.2
PRECTOTCORR_SUM,1985,3.41,0.69,1.4,5.73,50.92,89.8,130.17,52.0,69.6,72.64,33.56,23.26,533.18
PRECTOTCORR_SUM,1986,0.67,0.58,8.65,0.07,156.34,154.58,117.1,244.46,190.17,187.41,85.28,31.0,1176.31
PRECTOTCORR_SUM,1987,3.5,4.12,7.26,50.47,23.35,55.95,117.85,36.72,58.08,51.6,4.38,4.13,417.41
PRECTOTCORR_SUM,1988,3.69,0.33,0.13,2.14,68.89,38.37,48.42,99.97,208.79,98.11,16.59,1.93,587.36
PRECTOTCORR_SUM,1989,0.26,0.11,0.44,0.18,10.98,59.79,42.7,85.61,170.0,71.38,37.82,19.4,498.67
PRECTOTCORR_SUM,1990,0.87,13.94,0.52,8.52,90.26,153.05,87.5,66.59,148.64,55.65,43.52,15.1,684.16
PRECTOTCORR_SUM,1991,19.03,0.73,0.66,11.23,126.34,153.54,60.39,25.37,157.86,82.91,6.32,6.46,650.84
PRECTOTCORR_SUM,1992,0.06,5.51,0.53,6.32,191.27,102.61,102.41,128.25,151.71,90.48,50.34,1.81,831.3
PRECTOTCORR_SUM,1993,1.52,0.03,9.76,15.52,277.51,113.36,45.09,63.4,102.47,43.48,9.71,4.55,686.4
PRECTOTCORR_SUM,1994,0.17,0.14,0.01,2.41,27.76,35.17,21.57,71.31,76.53,43.5,53.58,3.29,335.44
PRECTOTCORR_SUM,1995,0.03,0.08,2.05,10.46,119.28,111.64,90.54,147.17,194.97,236.36,14.57,6.78,933.93
PRECTOTCORR_SUM,1996,4.88,1.0,0.81,9.55,90.3,88.74,59.39,58.53,49.25,112.94,74.77,3.32,553.48
PRECTOTCORR_SUM,1997,17.94,1.04,0.35,7.69,14.5,154.47,58.25,89.74,107.41,160.84,77.09,2.17,691.49
PRECTOTCORR_SUM,1998,0.0,1.49,0.5,2.76,24.69,95.92,132.75,145.6,154.8,246.99,63.86,37.08,906.44
PRECTOTCORR_SUM,1999,12.99,11.85,1.6,31.98,80.93,164.3,93.21,208.07,253.99,153.89,28.1,19.67,1060.58
PRECTOTCORR_SUM,2000,1.31,2.17,0.09,10.12,107.46,123.65,66.42,132.88,292.29,78.29,54.02,6.65,875.35
PRECTOTCORR_SUM,2001,9.23,0.25,0.64,1.02,182.05,104.38,72.08,182.9,256.03,186.06,108.31,4.88,1107.83
PRECTOTCORR_SUM,2002,1.81,2.35,0.25,0.35,221.15,76.06,161.08,189.85,293.1,233.68,77.63,3.7,1261.01
PRECTOTCORR_SUM,2003,5.63,0.24,13.57,17.97,222.33,150.43,91.92,82.62,89.16,139.91,94.79,40.51,949.08
PRECTOTCORR_SUM,2004,0.97,0.16,1.88,3.95,136.73,81.21,97.95,120.48,350.29,153.33,159.31,14.39,1120.65
PRECTOTCORR_SUM,2005,1.67,0.33,17.5,17.76,251.67,379.58,154.09,248.44,583.15,484.9,66.33,3.08,2208.5
PRECTOTCORR_SUM,2006,4.46,8.13,0.59,2.04,140.75,271.35,286.68,104.35,141.8,245.06,105.46,20.53,1331.2
PRECTOTCORR_SUM,2007,0.4,0.75,1.23,54.51,295.15,150.12,295.56,361.74,551.85,621.0,48.73,21.04,2402.08
PRECTOTCORR_SUM,2008,2.5,5.83,1.17,50.7,193.17,393.1,348.06,536.82,608.57,406.63,169.55,6.96,2723.06
PRECTOTCORR_SUM,2009,1.96,4.12,6.66,0.82,223.07,249.15,118.6,85.21,124.74,234.32,59.59,9.08,1117.32
PRECTOTCORR_SUM,2010,1.2,2.93,1.16,126.94,254.43,316.99,424.02,414.95,321.23,105.99,127.04,8.59,2105.47
PRECTOTCORR_SUM,2011,3.6,6.37,2.04,16.87,172.57,321.21,283.8,294.82,235.66,576.96,54.51,20.0,1988.41
PRECTOTCORR_SUM,2012,4.55,0.57,1.51,39.75,160.99,240.62,58.46,239.1,244.4,228.65,12.77,5.53,1236.9
