-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  10.565   Longitude -85.5917 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 94.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M         MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.89,27.11,28.64,28.84,28.12,26.47,26.84,26.02,26.16,25.88,25.38,25.82,26.68
T2M,1982,26.62,28.14,28.78,29.41,27.46,26.96,26.6,27.88,27.17,26.22,27.41,27.71,27.52
T2M,1983,28.42,29.26,30.03,30.8,30.31,28.19,28.38,28.38,27.35,26.28,26.54,26.49,28.36
T2M,1984,26.83,28.05,28.83,29.51,28.82,27.32,27.23,27.14,26.0,26.36,25.92,26.77,27.4
T2M,1985,26.68,27.57,28.53,29.31,28.87,28.21,27.24,26.93,27.37,27.43,27.32,27.48,27.74
T2M,1986,27.13,27.96,27.99,30.08,28.76,26.72,26.58,27.04,26.52,26.25,27.04,27.02,27.42
T2M,1987,27.21,28.51,30.03,29.26,29.65,29.65,27.93,27.96,28.43,28.06,29.32,28.78,28.73
T2M,1988,28.55,28.59,28.96,30.1,29.53,27.2,27.54,26.24,25.48,26.17,26.91,27.27,27.71
T2M,1989,27.83,27.11,28.15,29.61,29.45,28.42,28.06,27.9,26.23,26.97,27.5,27.01,27.86
T2M,1990,28.03,28.05,28.85,30.26,29.5,28.25,27.53,28.28,27.48,26.55,27.3,27.62,28.14
T2M,1991,27.86,28.11,29.39,30.16,28.42,27.91,27.68,27.9,27.71,26.3,27.51,27.69,28.05
T2M,1992,28.0,28.41,29.34,30.18,28.94,27.71,26.78,27.1,26.44,26.51,27.14,27.6,27.84
T2M,1993,28.01,28.41,28.93,30.17,27.84,26.9,27.16,27.45,26.64,27.46,28.46,28.31,27.97
T2M,1994,28.07,28.43,29.17,29.84,29.65,28.99,28.77,28.2,27.96,27.21,27.36,28.35,28.5
T2M,1995,28.09,28.56,29.66,30.13,28.4,27.18,27.09,26.11,26.0,25.61,26.27,26.88,27.49
